activity_id,deal_id,activity_type,activity_date,notes
1,8,Legal Review,01/10/2024 17:07,Legal review completed; two clauses require negotiation.
2,15,Proposal Sent,2/24/2024 4:35,Sent detailed proposal with three pricing tiers.
3,48,Reference Call,12/12/2024 11:42,Reference call completed; prospect ready to move to contract.
4,38,Call Outbound,06/12/2024 20:35,Called to confirm next steps after proposal submission.
5,6,Email Sent,3/25/2024 21:51,Emailed pricing proposal to procurement contact.
6,39,Product Walkthrough,01/11/2024 07:19,Walkthrough tailored to use cases outlined in RFP.
7,46,Demo Conducted,09/09/2024 09:21,Demo session with 8 attendees; follow-up Q&A scheduled.
8,15,Executive Briefing,6/23/2024 10:55,Strategic alignment session with VP and SVP stakeholders.
9,1,Contract Sent,10/21/2024 16:35,Forwarded standard contract with custom addendums included.
10,28,Onboarding Kickoff,05/12/2024 03:21,Onboarding kickoff held; project milestones and owners confirmed.
11,14,Meeting Scheduled,01/06/2025 17:52,Set up technical deep-dive with IT and security teams.
12,6,Call Inbound,5/27/2024 13:10,Prospect called to ask technical questions about integrations.
13,23,Negotiation Call,8/22/2024 11:08,Price negotiation call; exploring volume-based pricing.
14,3,Stage Advanced,10/10/2024 09:35,Deal progressed to Contract stage; all stakeholders aligned.
15,8,POC Initiated,01/12/2025 22:05,POC launched with two internal user groups.
16,36,Call Outbound,4/23/2024 20:37,Followed up on contract redlines sent last week.
17,24,Timeline Confirmed,08/12/2024 05:18,Timeline locked in; implementation must start within 30 days.
18,5,Onboarding Kickoff,1/18/2024 19:06,Introduced customer success manager and onboarding plan.
19,19,Deal Won,1/31/2024 23:42,Closed-won after 4-month sales cycle. Onboarding begins next week.
20,7,Budget Confirmed,5/27/2024 15:01,Budget confirmed at $120K annual; fits within proposed pricing.
21,41,Pricing Discussion,11/19/2024 22:28,Pricing call to address budget gap; exploring phased rollout.
22,24,Meeting Completed,5/17/2024 23:21,Held alignment meeting with all decision-makers present.
23,18,Reference Call,9/29/2024 13:26,Connected prospect with reference customer in similar industry.
24,41,Security Review,03/07/2024 11:07,Data privacy and encryption standards reviewed and approved.
25,16,Deal Lost,03/04/2024 11:01,Deal marked lost; client selected incumbent vendor.
26,18,Technical Review,12/25/2024 9:16,Technical due diligence session with CTO and engineers.
27,44,Proposal Sent,05/05/2024 22:32,Sent detailed proposal with three pricing tiers.
28,3,Proposal Sent,11/08/2024 15:34,Shared commercial proposal following scope confirmation.
29,18,Technical Review,1/26/2024 16:55,Technical review completed; no blockers identified.
30,37,Competitor Mentioned,12/06/2024 08:20,Client revealed they have a shortlist including our top competitor.
31,42,Demo Conducted,07/12/2024 21:10,Custom demo for data analytics team; deep dive into API capabilities.
32,42,Timeline Confirmed,6/27/2024 4:48,Timeline locked in; implementation must start within 30 days.
33,9,Contract Sent,04/05/2024 18:44,Sent final contract version after all redlines resolved.
34,17,POC Initiated,10/17/2024 2:40,Trial account created; training session scheduled for next week.
35,38,Executive Briefing,06/04/2024 02:40,Executive sponsor meeting; approved moving to final contract stage.
36,9,Proposal Sent,7/16/2024 21:07,Proposal emailed with executive summary and ROI projections.
37,49,Call Outbound,1/19/2024 7:09,Called to confirm next steps after proposal submission.
38,41,Meeting Scheduled,03/03/2024 03:08,Arranged product demo for expanded stakeholder group.
39,5,Security Review,5/29/2024 10:17,Reviewed SOC 2 Type II report with client's security officer.
40,30,Security Review,7/24/2024 11:42,Security team approved solution after penetration test review.
41,1,POC Initiated,9/21/2024 4:42,Proof of concept officially kicked off with IT team.
42,35,Reference Call,10/18/2024 14:41,Scheduled reference check with two existing enterprise clients.
43,42,Deal Won,05/12/2024 02:39,Deal officially won! Contract signed and revenue booked.
44,28,Contract Signed,03/02/2024 10:08,Signed MSA received. Onboarding team notified.
45,47,Email Sent,12/06/2024 03:32,Shared case study relevant to client's industry.
46,49,Product Walkthrough,03/10/2024 09:09,Walkthrough tailored to use cases outlined in RFP.
47,7,Competitor Mentioned,12/04/2024 01:49,Client revealed they have a shortlist including our top competitor.
48,41,Champion Identified,7/16/2024 3:45,New champion identified after reorganization; re-engaged deal.
49,10,Demo Conducted,5/25/2024 5:07,Demo focused on automation workflows; impressed by ease of use.
50,50,POC Initiated,12/24/2024 5:42,Trial account created; training session scheduled for next week.
51,1,Competitor Mentioned,8/20/2024 14:34,Client revealed they have a shortlist including our top competitor.
52,2,Stakeholder Meeting,2/13/2024 10:40,Internal champion organized cross-functional review meeting.
53,20,Timeline Confirmed,04/02/2024 23:51,Client confirmed go-live target is end of Q3.
54,37,Proposal Sent,01/02/2025 18:12,Sent detailed proposal with three pricing tiers.
55,47,Call Outbound,07/07/2024 17:45,Called to confirm next steps after proposal submission.
56,35,Deal Won,10/24/2024 10:05,Closed-won after 4-month sales cycle. Onboarding begins next week.
57,43,Meeting Scheduled,07/03/2024 13:57,Confirmed QBR with existing account team.
58,17,Meeting Completed,7/23/2024 22:16,Executive briefing went well; sponsor requested ROI model.
59,14,Executive Briefing,12/26/2024 18:06,Strategic alignment session with VP and SVP stakeholders.
60,47,Deal Won,9/24/2024 22:01,Closed-won after 4-month sales cycle. Onboarding begins next week.
61,20,Onboarding Kickoff,06/03/2024 22:52,Onboarding kickoff held; project milestones and owners confirmed.
62,34,Pricing Discussion,6/24/2024 8:09,Reviewed enterprise licensing model; client wants per-seat pricing.
63,15,Proposal Sent,1/25/2024 20:45,Shared commercial proposal following scope confirmation.
64,38,Email Sent,08/03/2024 02:55,Emailed pricing proposal to procurement contact.
65,15,POC Completed,01/03/2024 19:01,POC concluded successfully; client met all evaluation KPIs.
66,41,Onboarding Kickoff,1/23/2024 20:44,Introduced customer success manager and onboarding plan.
67,3,Call Outbound,11/29/2024 20:22,Cold call to new stakeholder identified in org chart.
68,33,Call Outbound,04/02/2024 10:21,Cold call to new stakeholder identified in org chart.
69,32,Reference Call,3/24/2024 4:49,Reference call completed; prospect ready to move to contract.
70,47,Meeting Scheduled,12/29/2024 7:37,Confirmed QBR with existing account team.
71,31,POC Completed,04/04/2024 08:53,Evaluation complete; champion presented results to leadership.
72,27,Stage Advanced,3/14/2024 22:44,Deal advanced from Discovery to Qualification stage.
73,43,Call Inbound,6/16/2024 9:41,Client called to discuss concerns about implementation timeline.
74,27,Executive Briefing,6/30/2024 8:59,Executive briefing with C-suite; strong strategic alignment noted.
75,42,Reference Call,09/07/2024 22:49,Connected prospect with reference customer in similar industry.
76,26,Email Received,10/09/2024 19:26,Received RFP document from procurement team.
77,7,Stage Advanced,04/06/2024 13:38,Moved to Proposal stage after successful demo.
78,35,Demo Conducted,6/23/2024 5:22,Demo focused on automation workflows; impressed by ease of use.
79,12,Executive Briefing,4/18/2024 4:13,Briefed CEO and COO on partnership roadmap.
80,5,Proposal Sent,6/21/2024 2:16,Sent revised proposal incorporating feedback from last call.
81,4,Call Inbound,09/10/2024 06:25,Prospect called to confirm vendor shortlist status.
82,1,Champion Identified,01/11/2025 07:41,Identified VP of Operations as internal champion.
83,49,Competitor Mentioned,11/25/2024 14:25,Competitor HubSpot mentioned during discovery; addressed key differentiators.
84,27,Meeting Completed,07/07/2024 14:30,Completed retrospective meeting post-pilot evaluation.
85,26,Demo Conducted,12/16/2024 11:22,Conducted live product demo; strong positive feedback on reporting module.
86,25,Meeting Completed,01/01/2024 20:05,Completed retrospective meeting post-pilot evaluation.
87,30,Contract Sent,4/20/2024 18:42,MSA and DPA sent to procurement for approval.
