revenue_id,deal_id,amount,received_date
1,1,12500,01/05/2024
2,2,8750,01/08/2024
3,3,23400,01/12/2024
4,4,5600,1/15/2024
5,5,41200,1/18/2024
6,6,15800,1/22/2024
7,7,9300,1/25/2024
8,8,33600,1/29/2024
9,9,7400,02/02/2024
10,10,19800,02/05/2024
11,11,28500,02/08/2024
12,12,6200,02/11/2024
13,13,47300,2/14/2024
14,14,11400,2/17/2024
15,15,22700,2/20/2024
16,16,8900,2/23/2024
17,17,36100,2/26/2024
18,18,14600,03/01/2024
19,19,5100,03/04/2024
20,20,29800,03/07/2024
21,21,18300,03/10/2024
22,22,43700,3/13/2024
23,23,7800,3/16/2024
24,24,25400,3/19/2024
25,25,12100,3/22/2024
26,26,38600,3/25/2024
27,27,9700,3/28/2024
28,28,16400,04/01/2024
29,29,52300,04/04/2024
30,30,6800,04/07/2024
31,31,21500,04/10/2024
32,32,34200,4/13/2024
33,33,8400,4/16/2024
34,34,27900,4/19/2024
35,35,13700,4/22/2024
36,36,45800,4/25/2024
37,37,10200,4/28/2024
38,38,19100,05/01/2024
39,39,31600,05/04/2024
40,40,7100,05/07/2024
41,41,24300,05/10/2024
42,42,56700,5/13/2024
43,43,11800,5/16/2024
44,44,39400,5/19/2024
45,45,15200,5/22/2024
46,46,28100,5/25/2024
47,47,8600,5/28/2024
48,48,42500,5/31/2024
49,49,17900,06/03/2024
50,50,33100,06/06/2024
51,51,6500,06/09/2024
52,52,22800,06/12/2024
53,53,48600,6/15/2024
54,54,12300,6/18/2024
55,55,36900,6/21/2024
56,56,9100,6/24/2024
57,57,25600,6/27/2024
58,58,14800,6/30/2024
59,59,61200,07/03/2024
60,60,7900,07/06/2024
61,61,29300,07/09/2024
62,62,18700,07/12/2024
63,63,44100,7/15/2024
64,64,11500,7/18/2024
65,65,37800,7/21/2024
66,66,8200,7/24/2024
67,67,23500,7/27/2024
68,68,53400,7/30/2024
69,69,16100,08/02/2024
70,70,31900,08/05/2024
71,71,7300,08/08/2024
72,72,26700,08/11/2024
73,73,41800,8/14/2024
74,74,13200,8/17/2024
75,75,35600,8/20/2024
76,76,9800,8/23/2024
77,77,20400,8/26/2024
78,78,58300,8/29/2024
79,79,15700,09/01/2024
80,80,30200,09/04/2024
81,1,6250,09/07/2024
82,2,4375,09/10/2024
83,3,11700,9/13/2024
84,4,2800,9/16/2024
85,5,20600,9/19/2024
86,6,7900,9/22/2024
87,7,4650,9/25/2024
88,8,16800,9/28/2024
89,9,3700,10/01/2024
90,10,9900,10/04/2024
91,11,14250,10/07/2024
92,12,3100,10/10/2024
93,13,23650,10/13/2024
94,14,5700,10/16/2024
95,15,11350,10/19/2024
96,16,4450,10/22/2024
97,17,18050,10/25/2024
98,18,7300,10/28/2024
99,19,2550,10/31/2024
100,20,14900,11/03/2024
101,21,9150,11/06/2024
102,22,21850,11/09/2024
103,23,3900,11/12/2024
104,24,12700,11/15/2024
105,25,6050,11/18/2024
106,26,19300,11/21/2024
107,27,4850,11/24/2024
108,28,8200,11/27/2024
109,29,26150,11/30/2024
110,30,3400,12/03/2024
111,31,10750,12/06/2024
112,32,17100,12/09/2024
113,33,4200,12/12/2024
114,34,13950,12/15/2024
115,35,6850,12/18/2024
116,36,22900,12/21/2024
117,37,5100,12/24/2024
118,38,9550,12/27/2024
119,39,15800,12/30/2024
120,40,3550,12/31/2024
121,41,12150,01/03/2025
122,42,28350,01/06/2025
123,43,5900,01/09/2025
124,44,19700,01/12/2025
125,45,7600,1/15/2025
126,46,14050,1/18/2025
127,47,4300,1/21/2025
128,48,21250,1/24/2025
129,49,8950,1/27/2025
130,50,16550,1/30/2025
131,51,3250,02/02/2025
132,52,11400,02/05/2025
133,53,24300,02/08/2025
134,54,6150,02/11/2025
